,1. Jakub Boček,,13
,2. Matěj Boček,,9
,3. Tomáš Hanák,,8
,4. Radek Hanák,,8
,5. Jakub Hromada,,6
,1. Ondřej Matiášek,,"3,72"
,2. Daniel Körber,,"6,84"
,,,
,,,
,,,
,1. Jakub Boček,,8
,2. Tomáš Hanák,,5
,3. Jakub Hromada,,4
,4. Matěj Boček,,4
,5. Radek Hanák,,4
,1. Ondřej Matiášek,,2
,2. Daniel Körber,,1
,,,
,,,
,,,
,1. Jakub Boček,,5
,2. Matěj Boček,,5
,3. Radek Hanák,,4
,4. Martin Obuškevič,,3
,5. Tomáš Hanák,,3
,1. Jakub Boček,,6
,2. Matouš Burian,,6
,3. Radek Hanák,,6
,4. Vojtěch Novotný,,6
,5. Filip Neklan,,4
