,1. Filip Forman,,36
,2. Jakub Buršík,,26
,3. Karel Petrák,,25
,4. Jan Malič,,11
,5. Patrik Šebek,,9
,1. Radovan Michajlovič,,"4,23"
,2. Jakub Zavřel,,"3,50"
,3. Tomáš Hyršl,,"5,62"
,,,
,,,
,1. Karel Petrák,,18
,2. Filip Forman,,14
,3. Jakub Buršík,,14
,4. Jan Malič,,5
,5. Patrik Šebek,,4
,1. Radovan Michajlovič,,4
,2. Jakub Zavřel,,2
,3. Tomáš Hyršl,,2
,,,
,,,
,1. Filip Forman,,22
,2. Jakub Buršík,,12
,3. Karel Petrák,,7
,4. Jan Malič,,6
,5. Patrik Šebek,,5
,1. Filip Forman,,6
,2. Jan Malič,,6
,3. Jakub Buršík,,4
,4. Karel Petrák,,4
,5. Patrik Šebek,,4
