,1. Petr Majer,,33
,2. Marek Vávra,,32
,3. Tom Ondrušek,,22
,4. Mikuláš Komárek,,19
,5. Daniel Eremiáš,,17
,1. Karel Hodík,,"5,19"
,2. Karel Pergler,,"3,33"
,3. Vojtěch Šimůnek,,"5,64"
,,,
,,,
,1. Marek Vávra,,17
,2. Petr Majer,,16
,3. Mikuláš Komárek,,12
,4. Daniel Eremiáš,,11
,5. Tom Ondrušek,,10
,1. Karel Hodík,,8
,2. Karel Pergler,,1
,3. Vojtěch Šimůnek,,1
,,,
,,,
,1. Petr Majer,,17
,2. Marek Vávra,,15
,3. Tom Ondrušek,,12
,4. Martin Skřivánek,,7
,5. Mikuláš Komárek,,7
,1. Jiří Bauer,,8
,2. Michal Strnad,,8
,3. Mikuláš Komárek,,8
,4. Matěj Netrefa,,6
,5. Michal Podhráský,,6
