,1. Milan Tichý,,16
,2. Štěpán Slaný,,15
,3. Ondřej Kopič,,14
,4. Radek Krajcigr,,14
,5. Daniel Štěrba,,14
,1. Ivan Ponomarev,,"7,77"
,2. Jan Dvořák,,"6,68"
,3. Lukáš Chyna,,"7,71"
,4. Daniel Jukl,,"15,00"
,,,
,1. Ondřej Kopič,,11
,2. Radek Krajcigr,,9
,3. Štěpán Slaný,,9
,4. Milan Tichý,,8
,5. Jaromír Ekl,,7
,1. Ivan Ponomarev,,1
,2. Lukáš Chyna,,2
,3. Jan Dvořák,,1
,4. Daniel Jukl,,0
,,,
,1. Daniel Štěrba,,10
,2. Jakub Jirsa,,9
,3. Milan Tichý,,8
,4. Jaromír Ekl,,6
,5. Štěpán Slaný,,6
,1. Tomáš Novák,,27
,2. Lukáš Mlejnek,,16
,3. Štěpán Slaný,,14
,4. Radek Krajcigr,,12
,5. Milan Tichý,,8
