,1. Lukáš Jalový,,17
,2. Tomáš Brom,,15
,3. Šimon Hronek,,12
,4. René Slezák,,9
,5. David Sládeček,,9
,1. Zdeněk Raška,,"6,39"
,2. Filip Létal,,"7,42"
,3. Ondřej Kolajta,,"9,14"
,,,
,,,
,1. Lukáš Jalový,,8
,2. René Slezák,,8
,3. Tomáš Brom,,8
,4. Šimon Hronek,,7
,5. Marek Fuchs,,6
,1. Zdeněk Raška,,3
,2. Filip Létal,,0
,3. Ondřej Kolajta,,0
,,,
,,,
,1. Lukáš Jalový,,9
,2. David Sládeček,,7
,3. Tomáš Brom,,7
,4. Jonáš Kůra,,6
,5. Jiří Juhaňák,,5
,1. David Sládeček,,16
,2. Matěj Hronek,,10
,3. Jakub Procházka,,8
,4. Lukáš Jalový,,8
,5. René Slezák,,8
