,1. Michal Klápa,,3
,2. Daniel Nicklas,,2
,3. Ondřej Hurt,,2
,4. Ivan Tomčo,,2
,5. Michal Strachota,,2
,1. Daniel Váradi,,"6,50"
,2. Jan Eckhardt,,"10,00"
,,,
,,,
,,,
,1. Michal Klápa,,3
,2. Daniel Nicklas,,1
,3. Jan Zavadil,,1
,4. Michal Zeman,,1
,5. Ondřej Hurt,,1
,1. Daniel Váradi,,1
,2. Jan Eckhardt,,0
,,,
,,,
,,,
,1. Ivan Tomčo,,2
,2. Michal Strachota,,2
,3. Adam Zahraj,,1
,4. Daniel Nicklas,,1
,5. Matyáš Velc,,1
,1. Jan Zavadil,,4
,2. Martin Koubek,,4
,3. Matěj Svatek,,4
,4. Tomáš Navrátil,,4
,5. Michal Strachota,,2
