,1. Šimon Stránský,,26
,2. Prokop Ferdan,,26
,3. Filip Smutný,,25
,4. Radek Valeš,,24
,5. Vojtěch Wiener,,21
,1. Petr Chlad,,"5,62"
,2. Daniel Kupec,,"0,00"
,3. Jan Král,,"0,00"
,4. Mikuláš Futschik,,"0,00"
,5. Jakub Levínský,,"5,64"
,1. Filip Smutný,,17
,2. Radek Valeš,,14
,3. Šimon Stránský,,12
,4. Prokop Ferdan,,11
,5. Vojtěch Wiener,,10
,1. Petr Chlad,,7
,2. Daniel Mück,,1
,3. Jakub Levínský,,1
,4. Daniel Kupec,,0
,5. Jan Král,,0
,1. Prokop Ferdan,,15
,2. Šimon Stránský,,14
,3. Vojtěch Wiener,,11
,4. Radek Valeš,,10
,5. Filip Smutný,,8
,1. Šimon Stránský,,8
,2. Jan Světlík,,6
,3. Vojtěch Janeček,,6
,4. Vojtěch Wiener,,6
,5. Jan Baudisch,,4
