,1. Jiří Curney,,47
,2. Martin Tokoš,,46
,3. Milan Tomašík,,44
,4. Daniel Šebek,,34
,5. Patrik Suchánek,,30
,1. Lukáš Bauer,,"3,56"
,2. Dominik Hanuš,,"0,00"
,3. Ondřej Tomšík,,"3,00"
,,,
,,,
,1. Jiří Curney,,28
,2. Milan Tomašík,,25
,3. Martin Tokoš,,24
,4. Jakub Bína,,20
,5. Daniel Šebek,,17
,1. Lukáš Bauer,,20
,2. Ondřej Tomšík,,2
,3. Dominik Hanuš,,0
,,,
,,,
,1. Martin Tokoš,,22
,2. Patrik Suchánek,,20
,3. Jiří Curney,,19
,4. Milan Tomašík,,19
,5. Daniel Šebek,,17
,1. Adam Hemerka,,28
,2. Martin Tokoš,,26
,3. Patrik Suchánek,,14
,4. Daniel Šebek,,10
,5. Miroslav Fořt,,8
