,1. Michal Sládek,,52
,2. Lukáš Pešat,,43
,3. Daniel Chatrný,,37
,4. Ladislav Gál,,29
,5. Šimon Kuczera,,28
,1. Jan Binder,,"5,04"
,2. Martin Janík,,"4,37"
,3. Jan Klinka,,"5,86"
,,,
,,,
,1. Daniel Chatrný,,28
,2. Michal Sládek,,27
,3. Ladislav Gál,,22
,4. Lukáš Pešat,,17
,5. Wojciech Malajka,,11
,1. Jan Binder,,11
,2. Jan Klinka,,3
,3. Martin Janík,,1
,,,
,,,
,1. Lukáš Pešat,,26
,2. Michal Sládek,,25
,3. Šimon Kuczera,,20
,4. Dominik Klimscha,,11
,5. Lukáš Herblich,,10
,1. Marcel Jakubec,,10
,2. Ladislav Gál,,8
,3. Michal Sládek,,7
,4. Šimon Soukup,,7
,5. Filip Šubert,,6
