,1. František Vykopal,,17
,2. Ronald Gašparík,,14
,3. Lukáš Petřík,,10
,4. Peter Nehila,,9
,5. Tomáš Sovják,,7
,1. Adam Kohút,,"5,44"
,2. Kevin Majrich,,"8,09"
,3. Miroslav Steiger,,"11,35"
,,,
,,,
,1. František Vykopal,,11
,2. Peter Nehila,,7
,3. Ronald Gašparík,,5
,4. Lukáš Petřík,,4
,5. Pavel Jurčík,,4
,1. Adam Kohút,,1
,2. Kevin Majrich,,1
,3. Miroslav Steiger,,0
,,,
,,,
,1. Ronald Gašparík,,9
,2. František Vykopal,,6
,3. Lukáš Petřík,,6
,4. Tomáš Sovják,,6
,5. David Ležatka,,4
,1. Jiří Halama,,4
,2. Ronald Gašparík,,4
,3. David Medek,,2
,4. Martin Ležatka,,2
,5. Peter Nehila,,2
