,1. Adam Šmíd,,5
,2. Matyáš Velc,,5
,3. Jan Savický,,4
,4. Přemek Pakosta,,3
,5. Lukáš Kučera,,2
,1. Karel Aubus,,"5,00"
,2. Martin Haleš,,"8,00"
,,,
,,,
,,,
,1. Adam Šmíd,,4
,2. Jan Savický,,3
,3. Matyáš Velc,,2
,4. David Žáček,,1
,5. Lukáš Kučera,,1
,1. Martin Haleš,,1
,2. Karel Aubus,,0
,,,
,,,
,,,
,1. Matyáš Velc,,3
,2. David Petržela,,2
,3. Přemek Pakosta,,2
,4. Adam Šmíd,,1
,5. Jan Savický,,1
,1. Ivo Teichman,,2
,2. Lukáš Prix,,2
,3. Vojtěch Rusin,,2
,4. Adam Šmíd,,0
,5. David Petržela,,0
