1.,Adam Šmíd,,,12,10,1,0,9,19,31,22,36,-14
2.,Matyáš Velc,,,14,9,1,0,4,13,0,17,47,-30
3.,Ivo Teichman,,U,14,8,2,0,5,13,4,20,44,-24
4.,Přemek Pakosta,,U,14,4,1,0,8,12,2,26,44,-18
5.,Vojtěch Rusin,,,14,5,0,0,3,8,2,19,33,-14
6.,Jan Savický,,U,9,4,1,0,4,8,0,19,27,-8
7.,Lukáš Prix,,,14,3,0,0,4,7,6,28,42,-14
8.,David Žáček,,,12,3,0,0,2,5,2,10,28,-18
9.,Lukáš Kučera,,,14,2,0,0,3,5,4,9,22,-13
10.,David Petržela,,,13,1,0,0,3,4,2,12,18,-6
11.,Petr Černý,,,8,2,0,0,1,3,0,5,11,-6
12.,Petr Křinka,,,13,1,0,0,2,3,0,6,19,-13
13.,Michael Smola,,,14,1,0,0,2,3,2,15,45,-30
14.,Patrik Petr,,U,14,2,0,0,0,2,6,11,25,-14
15.,Vojtěch Klein,,O,14,2,0,0,0,2,10,14,26,-12
16.,Lukáš Slabý,,O,13,0,0,0,1,1,0,18,42,-24
17.,Matěj Denemark,,,0,0,0,0,0,0,0,0,0,0
18.,Jan Nezval,,U,8,0,0,0,0,0,0,7,15,-8
19.,Karel Aubus,,,0,0,0,0,0,0,0,0,0,0
20.,Jiří Kohoutek,,,12,0,0,0,0,0,0,1,5,-4
21.,Martin Haleš,,,0,0,0,0,0,0,0,0,0,0
