,1. Viktor Kopecký,,8
,2. Jan Fiala,,7
,3. Ivan Pergler,,5
,4. Vojtěch Klápa,,5
,5. Zbyněk Stuchlík,,4
,1. Karel Šantora,,"6,96"
,2. Petr Musil,,"8,48"
,,,
,,,
,,,
,1. Viktor Kopecký,,6
,2. Ivan Pergler,,3
,3. Vojtěch Klápa,,3
,4. Zbyněk Stuchlík,,3
,5. Jan Procházka,,2
,1. Karel Šantora,,1
,2. Petr Musil,,0
,,,
,,,
,,,
,1. Jan Fiala,,6
,2. Ivan Pergler,,2
,3. Ondřej Stuchlík,,2
,4. Viktor Kopecký,,2
,5. Vojtěch Klápa,,2
,1. Jan Fiala,,4
,2. Daniel Cabejšek,,2
,3. David Ježek,,2
,4. Ondřej Stuchlík,,2
,5. Vojtěch Klápa,,2
