,1. Mikuláš Krbec,,5
,2. Jiří Curney,,4
,3. Radim Křenek,,2
,4. Josef Juha,,2
,5. Dominik Bartoš,,1
,1. Martin Beneš,,"1,00"
,2. Viktor Hejna,,"0,00"
,,,
,,,
,,,
,1. Jiří Curney,,4
,2. Radim Křenek,,2
,3. Dominik Bartoš,,1
,4. Josef Juha,,1
,5. Vojtěch Andrášek,,1
,1. Martin Beneš,,1
,2. Viktor Hejna,,0
,,,
,,,
,,,
,1. Mikuláš Krbec,,5
,2. Jakub Mühlfait,,1
,3. Josef Juha,,1
,4. Josef Sedláček,,1
,5. Marek Zouzal,,1
,1. Michal Kareš,,20
,2. Jiří Curney,,2
,3. Adam Kuchynka,,0
,4. Dominik Bartoš,,0
,5. Jakub Kolstrunk,,0
