,1. Marek Beneš,,27
,2. David Šimek,,22
,3. Ondřej Němeček,,17
,4. Jakub Kolísko,,15
,5. Martin Šindelář,,15
,1. Lukáš Kříž,,"3,96"
,2. Jan Buzík,,"1,50"
,3. Tomáš Jurco,,"3,59"
,,,
,,,
,1. David Šimek,,15
,2. Marek Beneš,,12
,3. Matěj Havlas,,9
,4. Ondřej Němeček,,8
,5. Petr Brautferger,,8
,1. Lukáš Kříž,,9
,2. Jan Buzík,,1
,3. Tomáš Jurco,,1
,,,
,,,
,1. Marek Beneš,,15
,2. Jakub Kolísko,,9
,3. Martin Šindelář,,9
,4. Ondřej Němeček,,9
,5. David Šimek,,7
,1. Matěj Havlas,,6
,2. Jonáš Kreysa,,4
,3. Marek Beneš,,4
,4. Martin Čermák,,4
,5. Ondřej Němeček,,4
