1.,David Šimek,,,13,16,3,0,11,27,2,38,15,23
2.,Marek Beneš,,,8,12,1,0,15,27,4,29,9,20
3.,Martin Šindelář,,U,13,7,3,0,14,21,2,23,19,4
4.,Ondřej Němeček,,,13,10,5,0,9,19,4,39,15,24
5.,Matěj Havlas,,,13,10,1,1,5,15,6,27,12,15
6.,Petr Brautferger,,,13,8,0,1,7,15,16,24,11,13
7.,Jakub Kolísko,,U,13,6,0,0,9,15,2,29,11,18
8.,Milan Meliš,,U,9,6,3,0,4,10,2,19,11,8
9.,Jonáš Kreysa,,,13,6,0,0,4,10,4,13,16,-3
10.,Adam Tlapák,,O,13,5,0,0,2,7,2,26,12,14
11.,Martin Čermák,,,12,4,0,0,2,6,4,11,16,-5
12.,Bohumil Piskáček,,,10,3,0,0,1,4,2,21,8,13
13.,Martin Pánek,,O,10,1,0,1,3,4,0,23,12,11
14.,Lukáš Macháček,,,10,1,0,0,1,2,2,6,2,4
15.,Martin Mühlfait,,O,13,1,0,0,1,2,0,19,9,10
16.,Adam Kučera,,,6,0,0,0,2,2,0,7,2,5
17.,Ondřej Sádlo,,,6,1,0,0,0,1,0,4,2,2
18.,Jakub Slavík,,U,10,1,0,0,0,1,0,8,3,5
19.,Tomáš Kuchyňa,,,1,0,0,0,0,0,0,0,0,0
20.,Matěj Švarc,,,1,0,0,0,0,0,0,0,0,0
21.,Vojtěch Panuška,,U,1,0,0,0,0,0,0,0,0,0
22.,Tomáš Jurco,,,0,0,0,0,0,0,0,0,0,0
23.,Filip Eliáš,,,5,0,0,0,0,0,2,3,1,2
24.,Vojtěch Kún,,U,5,0,0,0,0,0,0,0,0,0
25.,Dalibor Švéda,,,7,0,0,0,0,0,0,2,3,-1
26.,Jan Buzík,,G,0,0,0,0,0,0,0,0,0,0
27.,Pavel Sládeček,,O,13,0,0,0,0,0,2,11,18,-7
28.,Lukáš Kříž,,,0,0,0,0,0,0,0,0,0,0
