,1. Adam Delong,,27
,2. Matyáš Šindler,,23
,3. Rostislav Gattnar,,19
,4. Marek Matejčík,,16
,5. Marek Bräuer,,13
,1. Denis Jasiok,,"4,03"
,2. Lukáš Souček,,"4,50"
,3. Michael Chalupecký,,"0,00"
,4. Michal Bartoň,,"0,00"
,5. Petr Maláč,,"0,00"
,1. Adam Delong,,16
,2. Rostislav Gattnar,,14
,3. Marek Bräuer,,11
,4. Matyáš Šindler,,10
,5. Jiří Besta,,8
,1. Denis Jasiok,,5
,2. Lukáš Souček,,3
,3. Michael Chalupecký,,0
,4. Michal Bartoň,,0
,5. Petr Maláč,,0
,1. Matyáš Šindler,,13
,2. Adam Delong,,11
,3. Marek Matejčík,,11
,4. Adam Zubek,,8
,5. Ondřej Vítovec,,6
,1. Jiří Besta,,4
,2. Marek Bräuer,,4
,3. Rostislav Gattnar,,4
,4. Adam Delong,,2
,5. Filip Čonka-Skyba,,2
