Michal Sládek,U,11,11,10,14,090119025
Lukáš Pešat,U,10,7,14,6,071210032
Wojciech Malajka,,10,11,9,5,160815004
Šimon Kuczera,O,11,4,11,7,061018102
Daniel Chatrný,,11,10,3,19,100922184
Ladislav Gál,U,11,9,0,14,120831041
Šimon Soukup,,11,2,6,17,100922178
Dominik Klimscha,,11,3,3,8,080103039
Marcel Jakubec,,11,2,0,11,070915011
Marek Lípový,O,7,1,1,10,070924166
Pavel Hurta,,9,1,0,5,081118039
Martin Sedláček,U,9,0,1,0,140917169
Lukáš Herblich,,11,0,1,9,090908013
Jiří Šebesta,O,3,0,0,3,050915120
Lukáš Svačinka,,3,0,0,1,060215059
Adam Choma,U,5,0,0,6,080919122
Martin Janík,,1,0,0,0,131101028
Filip Šubert,,5,0,0,5,100119019
Richard Pum,,6,0,0,1,100923049
Adam Mikoláš,,8,0,0,2,100922177
Jan Klinka,G,0,0,0,0,110112005
Vojtěch Repček,,9,0,0,4,110921098
Jan Binder,G,0,0,0,0,071016013
Denis Zimmer,O,9,0,0,8,071130020
Petr Vítovec,,9,0,0,0,101014007
