Adam Šmíd,,9,7,6,29,101008043
Ivo Teichman,U,11,6,5,30,080804035
Matyáš Velc,,11,6,4,34,080925234
Přemek Pakosta,U,11,3,6,33,070807059
Jan Savický,U,6,4,3,19,130919054
David Žáček,,11,3,2,23,090924126
Lukáš Prix,,11,2,3,31,100930017
Vojtěch Rusin,,11,3,1,22,181114006
Lukáš Kučera,,11,2,2,15,090113012
David Petržela,,10,1,3,12,101115029
Petr Černý,,6,2,1,11,090924125
Vojtěch Klein,O,11,2,0,20,100816064
Michael Smola,,11,1,1,31,120926156
Patrik Petr,U,11,1,0,18,100802002
Lukáš Slabý,O,10,0,1,27,131003064
Petr Křinka,,10,0,1,13,111020031
Matěj Denemark,,0,0,0,0,131009155
Jan Nezval,U,6,0,0,10,111011100
Karel Aubus,,0,0,0,0,121004066
Martin Haleš,,0,0,0,0,080920140
Jiří Kohoutek,,10,0,0,2,101008045
