Marek Beneš,,8,12,15,9,081017018
David Šimek,,11,15,7,13,060919079
Ondřej Němeček,,11,8,9,13,060919145
Jakub Kolísko,U,11,6,9,9,071011098
Martin Šindelář,U,11,6,9,17,090312003
Matěj Havlas,,11,9,5,10,100922152
Petr Brautferger,,11,8,6,9,070914149
Jonáš Kreysa,,11,6,4,16,080904020
Milan Meliš,U,8,5,4,11,081219012
Adam Tlapák,O,11,4,2,10,071108015
Martin Čermák,,11,3,2,16,100930072
Martin Pánek,O,10,1,3,12,070102050
Bohumil Piskáček,,8,1,1,6,110920095
Martin Mühlfait,O,11,1,1,7,071127069
Adam Kučera,,4,0,2,0,121102041
Ondřej Sádlo,,6,1,0,2,091124026
Lukáš Macháček,,9,1,0,2,110720050
Tomáš Kuchyňa,,1,0,0,0,130913065
Matěj Švarc,,1,0,0,0,100316012
Vojtěch Panuška,U,1,0,0,0,150925166
Tomáš Jurco,,0,0,0,0,121004069
Vojtěch Kún,U,4,0,0,0,111025014
Filip Eliáš,,4,0,0,1,141009002
Dalibor Švéda,,5,0,0,3,100920040
Jan Buzík,G,0,0,0,0,101001116
Jakub Slavík,U,8,0,0,3,050913039
Lukáš Kříž,,0,0,0,0,100602012
Pavel Sládeček,O,11,0,0,18,090916032
