,1. Tomáš Hanák,,45
,2. Radek Hanák,,34
,3. Jakub Renčín,,26
,4. Matěj Boček,,24
,5. Jakub Hromada,,24
,1. Daniel Körber,,"6,59"
,2. Ondřej Matiášek,,"7,03"
,3. Marek Netopilík,,"0,00"
,,,
,,,
,1. Tomáš Hanák,,29
,2. Radek Hanák,,20
,3. Matěj Boček,,16
,4. Jakub Renčín,,14
,5. Jan Kopecký,,13
,1. Ondřej Matiášek,,7
,2. Daniel Körber,,6
,3. Marek Netopilík,,0
,,,
,,,
,1. Tomáš Hanák,,16
,2. Radek Hanák,,14
,3. Jakub Hromada,,12
,4. Jakub Renčín,,12
,5. Daniel Ludvík,,8
,1. Radek Hanák,,10
,2. Tomáš Hanák,,10
,3. Vojtěch Novotný,,10
,4. Daniel Ludvík,,8
,5. Jan Pícha,,8
