,1. Jakub Renčín,,5
,2. Tomáš Hanák,,4
,3. Matěj Boček,,3
,4. Jakub Hromada,,2
,5. Jakub Boček,,1
,1. Daniel Körber,,"9,00"
,2. Ondřej Matiášek,,"16,00"
,,,
,,,
,,,
,1. Tomáš Hanák,,3
,2. Jakub Hromada,,2
,3. Jakub Boček,,1
,4. Jakub Renčín,,1
,5. Jan Hněvkovský,,1
,1. Daniel Körber,,0
,2. Ondřej Matiášek,,0
,,,
,,,
,,,
,1. Jakub Renčín,,4
,2. Matěj Boček,,2
,3. Jan Bauman,,1
,4. Jaroslav Král,,1
,5. Radek Hanák,,1
,1. Jaroslav Král,,5
,2. Daniel Ludvík,,4
,3. Jakub Boček,,2
,4. Jakub Renčín,,2
,5. Tomáš Hanák,,2
