,1. Filip Forman,,50
,2. Matěj Pěnička,,40
,3. Matyáš Krebner,,39
,4. Jan Malič,,31
,5. Jakub Buršík,,30
,1. Radovan Michajlovič,,"5,20"
,2. Jakub Zavřel,,"4,24"
,3. Tomáš Hyršl,,"13,73"
,,,
,,,
,1. Matěj Pěnička,,27
,2. Jakub Šárka,,21
,3. Jakub Buršík,,19
,4. Matyáš Krebner,,18
,5. Filip Forman,,16
,1. Radovan Michajlovič,,13
,2. Jakub Zavřel,,3
,3. Tomáš Hyršl,,2
,,,
,,,
,1. Filip Forman,,34
,2. Matyáš Krebner,,21
,3. Jan Malič,,18
,4. Matěj Pěnička,,13
,5. Jakub Buršík,,11
,1. Jan Malič,,22
,2. Filip Forman,,10
,3. Lukáš Kuncman,,6
,4. Ivan Tomčo,,4
,5. Jakub Buršík,,4
