,1. Jakub Šárka,,19
,2. Matyáš Krebner,,11
,3. Filip Forman,,7
,4. Jakub Buršík,,5
,5. Matěj Pěnička,,5
,1. Radovan Michajlovič,,"6,52"
,2. Jakub Zavřel,,"0,00"
,3. Tomáš Hyršl,,"0,00"
,,,
,,,
,1. Jakub Šárka,,14
,2. Filip Forman,,4
,3. Matyáš Krebner,,4
,4. Jakub Buršík,,3
,5. Matěj Pěnička,,3
,1. Radovan Michajlovič,,2
,2. Jakub Zavřel,,0
,3. Tomáš Hyršl,,0
,,,
,,,
,1. Matyáš Krebner,,7
,2. Jakub Šárka,,5
,3. Michal Vojtíšek,,4
,4. Filip Forman,,3
,5. Jakub Buršík,,2
,1. Filip Forman,,4
,2. Jakub Buršík,,2
,3. Jan Dobisík,,2
,4. Jan Malič,,2
,5. Matěj Pěnička,,2
