,1. Marek Vávra,,34
,2. Tom Ondrušek,,32
,3. Petr Majer,,22
,4. Ondřej Mikeš,,22
,5. Jiří Bauer,,13
,1. Michal Rebro,,"4,32"
,2. Vojtěch Šimůnek,,"5,53"
,3. Karel Pergler,,"0,00"
,4. Karel Hodík,,"4,86"
,,,
,1. Marek Vávra,,21
,2. Tom Ondrušek,,19
,3. Petr Majer,,15
,4. Ondřej Mikeš,,13
,5. Daniel Eremiáš,,9
,1. Vojtěch Šimůnek,,5
,2. Michal Rebro,,3
,3. Karel Hodík,,3
,4. Karel Pergler,,0
,,,
,1. Marek Vávra,,13
,2. Tom Ondrušek,,13
,3. Tomáš Sýkora,,11
,4. Jiří Bauer,,9
,5. Ondřej Mikeš,,9
,1. Jiří Bauer,,22
,2. Jiří Koutný,,14
,3. Tomáš Vávra,,8
,4. Michal Strnad,,6
,5. Ondřej Mikeš,,6
