,1. Petr Majer,,13
,2. Marek Vávra,,11
,3. Daniel Eremiáš,,8
,4. Tomáš Sýkora,,8
,5. Tom Ondrušek,,8
,1. Vojtěch Šimůnek,,"6,69"
,2. Karel Hodík,,"6,45"
,,,
,,,
,,,
,1. Daniel Eremiáš,,8
,2. Petr Majer,,5
,3. Tomáš Sýkora,,5
,4. Jiří Bauer,,4
,5. Marek Vávra,,3
,1. Vojtěch Šimůnek,,3
,2. Karel Hodík,,0
,,,
,,,
,,,
,1. Marek Vávra,,8
,2. Petr Majer,,8
,3. Tom Ondrušek,,5
,4. Tomáš Sýkora,,3
,5. Jiří Bauer,,2
,1. Marek Vávra,,27
,2. Ondřej Mikeš,,6
,3. Radim Slunečko,,4
,4. Daniel Maxa,,2
,5. David Horký,,2
