,1. Radek Krajcigr,,49
,2. Jaromír Ekl,,31
,3. Daniel Štěrba,,22
,4. Ondřej Kopič,,21
,5. Štěpán Slaný,,20
,1. Jan Dvořák,,"6,82"
,2. Lukáš Chyna,,"11,18"
,3. Tadeáš Dittrich,,"15,00"
,,,
,,,
,1. Radek Krajcigr,,30
,2. Jaromír Ekl,,15
,3. Ondřej Kopič,,14
,4. Jakub Jirsa,,11
,5. Daniel Štěrba,,8
,1. Jan Dvořák,,7
,2. Lukáš Chyna,,1
,3. Tadeáš Dittrich,,0
,,,
,,,
,1. Radek Krajcigr,,19
,2. Jaromír Ekl,,16
,3. Daniel Štěrba,,14
,4. Štěpán Slaný,,14
,5. Jakub Jirsa,,8
,1. Jakub Jirsa,,32
,2. Radek Krajcigr,,14
,3. Ondřej Kopič,,8
,4. Tomáš Novák,,8
,5. Štěpán Slaný,,8
