,1. Radek Valeš,,31
,2. Prokop Ferdan,,22
,3. Martin Čermák,,20
,4. Jakub Kopecký,,19
,5. Vojtěch Wiener,,18
,1. Daniel Mück,,"5,73"
,2. Jan Baudisch,,"0,00"
,3. Ivan Ponomarev,,"5,64"
,,,
,,,
,1. Radek Valeš,,17
,2. Jakub Kopecký,,14
,3. Prokop Ferdan,,13
,4. Martin Čermák,,11
,5. Jan Světlík,,10
,1. Daniel Mück,,9
,2. Ivan Ponomarev,,3
,3. Jan Baudisch,,0
,,,
,,,
,1. Radek Valeš,,14
,2. Vojtěch Wiener,,12
,3. Petr Kološ,,11
,4. Martin Čermák,,9
,5. Prokop Ferdan,,9
,1. Radek Valeš,,10
,2. Jakub Kopecký,,8
,3. Petr Kološ,,8
,4. Jan Baudisch,,6
,5. Matěj Klucho,,6
