,1. Jiří Curney,,50
,2. Jakub Bína,,42
,3. Jan Natov,,39
,4. Martin Tokoš,,34
,5. Daniel Šebek,,32
,1. Lukáš Bauer,,"3,13"
,2. Petr Musil,,"4,74"
,3. Marek Macík,,"0,00"
,4. Ondřej Tomšík,,"15,00"
,,,
,1. Jakub Bína,,36
,2. Jan Natov,,26
,3. Martin Tokoš,,24
,4. Jiří Curney,,20
,5. Daniel Šebek,,14
,1. Lukáš Bauer,,21
,2. Petr Musil,,3
,3. Marek Macík,,1
,4. Ondřej Tomšík,,1
,,,
,1. Jiří Curney,,30
,2. Milan Tomašík,,19
,3. Daniel Šebek,,18
,4. Petr Krzyžanek,,17
,5. Jan Natov,,13
,1. Martin Tokoš,,22
,2. Jan Natov,,18
,3. Patrik Suchánek,,10
,4. Daniel Šebek,,8
,5. Jan Řehoř,,8
