,1. Daniel Šebek,,9
,2. Jiří Curney,,9
,3. Jan Natov,,8
,4. Milan Tomašík,,7
,5. Patrik Suchánek,,4
,1. Lukáš Bauer,,"5,50"
,2. Petr Musil,,"0,00"
,,,
,,,
,,,
,1. Milan Tomašík,,5
,2. Daniel Šebek,,4
,3. Jan Natov,,4
,4. Jiří Curney,,4
,5. Mikuláš Komárek,,3
,1. Lukáš Bauer,,2
,2. Petr Musil,,0
,,,
,,,
,,,
,1. Daniel Šebek,,5
,2. Jiří Curney,,5
,3. Jan Natov,,4
,4. Patrik Suchánek,,3
,5. Jakub Bína,,2
,1. Jan Natov,,2
,2. Patrik Suchánek,,2
,3. Petr Krzyžanek,,2
,4. Adam Hemerka,,0
,5. Aleš Höffer,,0
