,1. Michal Sládek,,47
,2. Wojciech Malajka,,44
,3. Lukáš Pešat,,32
,4. Marek Lípový,,17
,5. Dominik Klimscha,,16
,1. Jan Binder,,"4,91"
,2. Martin Janík,,"11,88"
,3. Jan Klinka,,"52,86"
,,,
,,,
,1. Wojciech Malajka,,31
,2. Michal Sládek,,22
,3. Lukáš Pešat,,15
,4. Lukáš Herblich,,9
,5. Dominik Klimscha,,8
,1. Jan Binder,,13
,2. Jan Klinka,,1
,3. Martin Janík,,0
,,,
,,,
,1. Michal Sládek,,25
,2. Lukáš Pešat,,17
,3. Wojciech Malajka,,13
,4. Marek Lípový,,11
,5. Dominik Klimscha,,8
,1. Lukáš Herblich,,10
,2. Lukáš Pešat,,10
,3. Wojciech Malajka,,10
,4. Michal Sládek,,8
,5. Dominik Eichner,,6
