,1. Marcel Jakubec,,2
,2. Dominik Eichner,,1
,3. Marek Lípový,,1
,4. Filip Šubert,,1
,5. Lukáš Herblich,,1
,1. Jan Binder,,"6,00"
,2. Jan Klinka,,"0,00"
,,,
,,,
,,,
,1. Marcel Jakubec,,2
,2. Dominik Eichner,,1
,3. Marek Lípový,,1
,4. Daniel Flašar,,0
,5. Denis Zimmer,,0
,1. Jan Binder,,0
,2. Jan Klinka,,0
,,,
,,,
,,,
,1. Filip Šubert,,1
,2. Lukáš Herblich,,1
,3. Nikodem Gawronski,,1
,4. Wojciech Malajka,,1
,5. Daniel Flašar,,0
,1. Dominik Eichner,,2
,2. Filip Šubert,,2
,3. Lukáš Herblich,,2
,4. Michal Sládek,,2
,5. Pavel Hurta,,2
