1.,František Vykopal,,U,17,9,3,0,7,16,8,16,35,-19
2.,Matěj Hronek,,,17,6,0,1,9,15,4,22,37,-15
3.,Filip Hrabal,,U,15,9,0,0,3,12,4,19,31,-12
4.,Ladislav Gál,,U,14,6,2,0,4,10,2,15,26,-11
5.,Peter Nehila,,,14,8,0,0,1,9,2,7,16,-9
6.,Martin Szweda,,O,17,4,0,0,5,9,10,20,25,-5
7.,Lukáš Petřík,,U,17,5,1,0,3,8,0,14,39,-25
8.,Vlastimil Červenka,,U,13,4,0,0,4,8,4,16,24,-8
9.,Michal Nagy,,O,12,4,0,0,2,6,8,15,28,-13
10.,Martin Grlický,,U,8,2,0,0,3,5,0,13,12,1
11.,David Medek,,O,14,2,0,0,3,5,4,22,27,-5
12.,Petr Koláčný,,O,11,1,1,0,4,5,12,12,26,-14
13.,Marek Zapletal,,U,8,2,0,0,2,4,2,4,14,-10
14.,Lukáš Kvapil,,O,17,1,1,0,3,4,4,20,42,-22
15.,Pavel Jurčík,,U,9,0,0,0,2,2,2,4,7,-3
16.,Petr Pšenčík,,O,16,0,0,0,2,2,2,6,24,-18
17.,Jan Hrtús,,,15,1,0,0,0,1,2,8,10,-2
18.,Tomáš Sovják,,U,5,0,0,0,1,1,4,2,3,-1
19.,Josef Štourač,,U,13,0,0,0,1,1,2,3,15,-12
20.,Ondřej Kahoun,,,1,0,0,0,0,0,0,0,0,0
21.,Vladimír Blažek,,,1,0,0,0,0,0,0,0,0,0
22.,Petr Kopecký,,,2,0,0,0,0,0,0,0,0,0
23.,Denis Zimmer,,O,2,0,0,0,0,0,0,0,0,0
24.,Adam Javořík,,,3,0,0,0,0,0,0,0,2,-2
25.,Miroslav Kladivo,,O,4,0,0,0,0,0,2,5,14,-9
26.,Kryštof Hájek,,,5,0,0,0,0,0,4,3,10,-7
27.,Matěj Kubíček,,,1,0,0,0,0,0,0,0,1,-1
28.,Zdeněk Raška,,,1,0,0,0,0,0,0,0,0,0
29.,Kevin Majrich,,G,0,0,0,0,0,0,0,0,0,0
