,1. Adam Šmíd,,44
,2. Jan Savický,,26
,3. Přemek Pakosta,,25
,4. Ivo Teichman,,21
,5. David Petržela,,15
,1. Martin Haleš,,"7,09"
,2. Jiří Veinfurter,,"0,00"
,3. Karel Aubus,,"11,86"
,4. Matěj Denemark,,"12,00"
,,,
,1. Adam Šmíd,,26
,2. Jan Savický,,19
,3. Petr Černý,,13
,4. Ivo Teichman,,10
,5. David Petržela,,9
,1. Martin Haleš,,5
,2. Jiří Veinfurter,,0
,3. Karel Aubus,,0
,4. Matěj Denemark,,0
,,,
,1. Adam Šmíd,,18
,2. Přemek Pakosta,,17
,3. Ivo Teichman,,11
,4. Marcel Lehký,,9
,5. Michal Smola,,8
,1. David Žáček,,16
,2. Marcel Lehký,,14
,3. David Petržela,,12
,4. Lukáš Prix,,12
,5. Adam Šmíd,,10
