,1. Michal Strachota,,29
,2. Lukáš Gregor,,24
,3. Milan Bína,,18
,4. Zbyněk Stuchlík,,18
,5. Ondřej Stuchlík,,14
,1. Karel Šantora,,"6,92"
,2. Rastislav Mazák,,"7,18"
,3. Jiří Buchta,,"8,62"
,4. Matyáš Lorenc,,"12,00"
,,,
,1. Lukáš Gregor,,19
,2. Michal Strachota,,17
,3. Milan Bína,,10
,4. Ondřej Stuchlík,,8
,5. Petr Hartman,,8
,1. Karel Šantora,,4
,2. Jiří Buchta,,0
,3. Matyáš Lorenc,,0
,4. Rastislav Mazák,,0
,,,
,1. Michal Strachota,,12
,2. Zbyněk Stuchlík,,12
,3. Jan Procházka,,9
,4. Martin Skřivánek,,8
,5. Milan Bína,,8
,1. Zbyněk Stuchlík,,11
,2. Michal Strachota,,10
,3. Jan Svoboda,,8
,4. Ondřej Stuchlík,,6
,5. Radovan Vnuk,,6
