,1. Mikuláš Krbec,,6
,2. Josef Juha,,5
,3. Lukáš Ujhelyi,,3
,4. Marek Zouzal,,3
,5. Michal Kareš,,3
,1. Martin Beneš,,"4,35"
,2. Ondřej Pelech,,"0,00"
,,,
,,,
,,,
,1. Josef Juha,,4
,2. Mikuláš Krbec,,3
,3. Jan Marvánek,,2
,4. Lukáš Ujhelyi,,2
,5. Michal Zeman,,2
,1. Martin Beneš,,2
,2. Ondřej Pelech,,0
,,,
,,,
,,,
,1. Marek Zouzal,,3
,2. Michal Kareš,,3
,3. Mikuláš Krbec,,3
,4. Dominik Beneš,,2
,5. Josef Juha,,1
,1. Michal Zeman,,4
,2. Jan Marvánek,,2
,3. Lukáš Ujhelyi,,2
,4. Matěj Pruner,,2
,5. Matěj Čermák,,2
