1.,Mikuláš Krbec,,U,19,15,2,0,22,37,4,45,31,14
2.,Lukáš Ujhelyi,,U,18,21,5,2,11,32,0,46,28,18
3.,Jakub Kolstrunk,,U,19,15,1,0,5,20,2,45,25,20
4.,Matěj Čermák,,,19,9,0,0,11,20,4,34,23,11
5.,Radim Křenek,,O,19,8,4,0,10,18,4,46,25,21
6.,Marek Zouzal,,U,19,4,0,0,12,16,2,29,19,10
7.,Josef Juha,,,16,7,0,0,7,14,6,16,20,-4
8.,Dominik Beneš,,,14,10,1,0,3,13,0,29,14,15
9.,Matyáš Bachmaier,,,12,6,0,0,2,8,4,21,16,5
10.,Milan Garčar,,O,13,4,1,0,4,8,4,15,12,3
11.,Michal Zeman,,O,19,4,0,0,4,8,6,36,21,15
12.,Matěj Pruner,,U,18,3,0,0,4,7,26,27,25,2
13.,Ondřej Hurt,,,13,3,0,0,2,5,0,8,7,1
14.,Michal Pažák,,U,12,2,0,0,3,5,10,22,15,7
15.,Kristián Kozák,,,18,3,2,0,1,4,10,10,16,-6
16.,Dominik Bartoš,,O,19,2,0,0,2,4,4,24,22,2
17.,Tomáš Dibelka,,,7,2,0,0,1,3,0,4,5,-1
18.,Martin Dolejš,,U,14,2,0,0,1,3,0,14,11,3
19.,Ondřej Riebauer,,U,3,1,0,0,2,3,0,10,6,4
20.,Michal Kareš,,U,12,1,0,0,2,3,2,11,8,3
21.,Matyáš Velc,,,6,1,0,0,1,2,2,3,3,0
22.,Marek Koščo,,,12,1,0,0,1,2,0,5,8,-3
23.,Martin Beneš,,G,0,0,0,0,1,1,4,0,0,0
24.,Šimon Masár,,,4,0,0,0,0,0,0,0,0,0
25.,Ondřej Pelech,,,0,0,0,0,0,0,0,0,0,0
26.,Jan Marvánek,,O,5,0,0,0,0,0,0,0,0,0
27.,Marek Veselý,,,7,0,0,0,0,0,0,3,7,-4
28.,Patrik Zítka,,G,0,0,0,0,0,0,0,0,0,0
