,1. Filip Langer,,36
,2. Ondřej Němeček,,27
,3. Matěj Havlas,,23
,4. Milan Meliš,,23
,5. Martin Šindelář,,22
,1. Lukáš Kříž,,"4,43"
,2. Tomáš Jurco,,"3,06"
,3. Martin Frühbauer,,"8,68"
,,,
,,,
,1. Filip Langer,,18
,2. Matěj Havlas,,14
,3. Milan Meliš,,13
,4. Petr Brautferger,,13
,5. Ondřej Němeček,,12
,1. Lukáš Kříž,,10
,2. Tomáš Jurco,,2
,3. Martin Frühbauer,,1
,,,
,,,
,1. Filip Langer,,18
,2. Ondřej Němeček,,15
,3. Martin Šindelář,,13
,4. Milan Meliš,,10
,5. Matěj Havlas,,9
,1. Petr Novotný,,14
,2. Filip Langer,,6
,3. Martin Šindelář,,6
,4. Pavel Sládeček,,6
,5. Petr Brautferger,,6
