,1. Milan Meliš,,5
,2. Filip Langer,,4
,3. Matěj Havlas,,4
,4. Martin Šindelář,,3
,5. Bohumil Piskáček,,3
,1. Lukáš Kříž,,"5,41"
,2. Martin Frühbauer,,"0,00"
,3. Tomáš Jurco,,"0,00"
,,,
,,,
,1. Martin Šindelář,,3
,2. Milan Meliš,,3
,3. Bohumil Piskáček,,2
,4. Ondřej Vítovec,,2
,5. Filip Langer,,1
,1. Lukáš Kříž,,1
,2. Martin Frühbauer,,0
,3. Tomáš Jurco,,0
,,,
,,,
,1. Filip Langer,,3
,2. Matěj Havlas,,3
,3. Milan Meliš,,2
,4. Bohumil Piskáček,,1
,5. Jakub Kolísko,,1
,1. Bohumil Piskáček,,2
,2. Filip Langer,,2
,3. Martin Šindelář,,2
,4. Petr Brautferger,,2
,5. Adam Tlapák,,0
