,1. Adam Delong,,51
,2. Rostislav Gattnar,,44
,3. Matyáš Šindler,,42
,4. Lukáš Hájek,,39
,5. Marek Matejčík,,29
,1. Lukáš Souček,,"4,01"
,2. Denis Jasiok,,"5,75"
,,,
,,,
,,,
,1. Adam Delong,,34
,2. Rostislav Gattnar,,30
,3. Lukáš Hájek,,20
,4. Jan Šebesta,,14
,5. Marek Bräuer,,14
,1. Lukáš Souček,,14
,2. Denis Jasiok,,3
,,,
,,,
,,,
,1. Matyáš Šindler,,32
,2. Lukáš Hájek,,19
,3. Adam Delong,,17
,4. Marek Matejčík,,16
,5. Rostislav Gattnar,,14
,1. Jan Šebesta,,8
,2. Tomáš Sladký,,8
,3. Marek Bräuer,,6
,4. Daniels Janis Anis,,4
,5. Martin Nehera,,4
