,1. Lukáš Hájek,,15
,2. Adam Delong,,10
,3. Marek Bräuer,,10
,4. Marek Matejčík,,9
,5. Matyáš Šindler,,9
,1. Lukáš Souček,,"3,50"
,2. Denis Jasiok,,"0,00"
,,,
,,,
,,,
,1. Lukáš Hájek,,9
,2. Adam Delong,,6
,3. Rostislav Gattnar,,6
,4. Jiří Besta,,5
,5. Marek Bräuer,,5
,1. Lukáš Souček,,6
,2. Denis Jasiok,,0
,,,
,,,
,,,
,1. Matyáš Šindler,,9
,2. Lukáš Hájek,,6
,3. Marek Matejčík,,6
,4. Marek Bräuer,,5
,5. Adam Delong,,4
,1. Jiří Besta,,4
,2. Marek Matejčík,,4
,3. Adam Choma,,2
,4. Jan Šebesta,,2
,5. Marek Švajný,,2
