1.,Tomáš Hanák,,U,17,17,2,0,13,30,10,31,24,7
2.,Radek Hanák,,U,17,14,1,0,8,22,8,30,24,6
3.,Jakub Renčín,,U,17,11,0,0,8,19,4,32,36,-4
4.,Matěj Boček,,U,17,11,0,0,5,16,4,31,39,-8
5.,Jakub Hromada,,,16,7,0,0,8,15,2,28,36,-8
6.,Vojtěch Novotný,,U,17,8,0,0,6,14,8,25,26,-1
7.,Matouš Burian,,U,12,7,1,0,4,11,4,9,23,-14
8.,Jan Hněvkovský,,U,14,5,2,0,5,10,2,11,18,-7
9.,Jakub Boček,,U,6,4,0,1,5,9,0,12,12,0
10.,Jan Kopecký,,U,12,7,0,0,1,8,4,10,23,-13
11.,Daniel Ludvík,,U,17,2,0,0,5,7,6,32,30,2
12.,Filip Neklan,,U,10,1,0,0,3,4,2,13,22,-9
13.,Adam Bouček,,,17,0,0,0,4,4,2,31,21,10
14.,Tomáš Straka,,O,17,0,0,0,4,4,4,29,24,5
15.,Jan Pícha,,,12,2,1,0,0,2,8,11,20,-9
16.,Jan Denemark,,,10,1,0,0,1,2,4,4,11,-7
17.,Jaroslav Král,,U,10,0,0,0,2,2,2,10,11,-1
18.,Jan Bauman,,O,13,0,0,0,2,2,0,6,17,-11
19.,Filip Rulíšek,,U,4,0,0,0,1,1,0,3,1,2
20.,Daniel Körber,,G,0,0,0,0,1,1,0,0,0,0
21.,Michal Klápa,,U,1,0,0,0,0,0,0,0,0,0
22.,Štěpán Čejka,,U,1,0,0,0,0,0,0,0,2,-2
23.,Jaroslav Jaroš,,U,3,0,0,0,0,0,0,0,1,-1
24.,Tomáš Čáslava,,U,3,0,0,0,0,0,0,2,2,0
25.,Jakub Nachtmann,,U,13,0,0,0,0,0,2,6,21,-15
26.,Martin Obuškevič,,O,14,0,0,0,0,0,0,9,22,-13
27.,Marek Fryš,,U,16,0,0,0,0,0,2,4,17,-13
28.,Ondřej Matiášek,,G,0,0,0,0,0,0,0,0,0,0
