
#,"<span data-id=""PlayerStatsDataGrid_139639055923216"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639055923216/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""fullname"">Jméno <input type=""text"" name=""gridFilter_fullname"" data-placement=""bottom"" class=""popup-on"" title=""Abc - jakýkoliv výskyt Abc
Abc* - začíná s Abc
*Abc - končí s Abc 
=Abc - přesný výskyt Abc"">","<span data-id=""PlayerStatsDataGrid_139639055923216"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639055923216/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""team_logo_with_link"">Družstvo","<span data-id=""PlayerStatsDataGrid_139639055923216"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639055923216/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""post"">Post","<span data-id=""PlayerStatsDataGrid_139639055923216"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639055923216/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""z"">Z","<span data-id=""PlayerStatsDataGrid_139639055923216"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639055923216/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""b"">B","<span data-id=""PlayerStatsDataGrid_139639055923216"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639055923216/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""bvp"">BVP","<span data-id=""PlayerStatsDataGrid_139639055923216"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639055923216/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""bvo"">BVO","<span data-id=""PlayerStatsDataGrid_139639055923216"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639055923216/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""a"">A","<span data-id=""PlayerStatsDataGrid_139639055923216"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639055923216/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""kb"">KB","<span data-id=""PlayerStatsDataGrid_139639055923216"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639055923216/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""tm"">TM","<span data-id=""PlayerStatsDataGrid_139639055923216"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639055923216/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""plus_points"">+","<span data-id=""PlayerStatsDataGrid_139639055923216"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639055923216/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""minus_points"">-","<span data-id=""PlayerStatsDataGrid_139639055923216"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639055923216/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""plus_minus_points"">+/-"
1.,Radek Krajcigr,,U,16,24,4,1,12,36,12,43,51,-8
2.,Jaromír Ekl,,U,16,7,0,0,10,17,0,30,53,-23
3.,Ondřej Kopič,,,15,9,0,0,6,15,4,24,32,-8
4.,Daniel Štěrba,,O,16,4,0,0,11,15,6,34,46,-12
5.,Jakub Jirsa,,U,16,6,0,0,6,12,30,21,43,-22
6.,Štěpán Slaný,,O,16,3,1,0,9,12,8,32,51,-19
7.,Jiří Vlček,,U,15,4,0,0,6,10,4,12,15,-3
8.,Oldřich Jireček,,,12,5,0,0,4,9,0,10,19,-9
9.,Jan Hřebřina,,U,9,5,0,0,3,8,2,16,15,1
10.,Tomáš Kadlec,,O,16,4,0,0,3,7,6,31,44,-13
11.,Jakub Karel,,U,11,2,0,0,4,6,0,19,16,3
12.,Marek Dzierža,,U,16,3,0,0,2,5,2,16,26,-10
13.,Josef Pluhař,,,5,2,0,0,1,3,4,10,18,-8
14.,Dan Semerád,,,8,2,0,0,1,3,0,4,15,-11
15.,Tomáš Novák,,O,7,1,0,0,2,3,2,10,16,-6
16.,Václav Vavruška,,,2,1,0,0,1,2,0,2,6,-4
17.,Filip Vybíral,,,4,1,0,0,1,2,0,13,8,5
18.,Martin Fuchsig,,U,2,1,0,0,0,1,0,2,2,0
19.,Petr Procházka,,,3,1,0,0,0,1,0,3,3,0
20.,Lukáš Mlejnek,,O,7,1,0,0,0,1,0,8,15,-7
21.,Lukáš Studený,,,10,1,0,0,0,1,0,4,9,-5
22.,Antonín Stárek,,O,15,1,0,0,0,1,6,10,25,-15
23.,Jan Spilka,,U,1,0,0,0,0,0,0,1,3,-2
24.,Vladimír Trčka,,,2,0,0,0,0,0,0,0,2,-2
25.,Tadeáš Dittrich,,,0,0,0,0,0,0,0,0,0,0
26.,Jan Petříček,,O,3,0,0,0,0,0,0,0,0,0
27.,Albert Kouba,,,8,0,0,0,0,0,0,4,7,-3
28.,Drahoslav Pastor,,O,10,0,0,0,0,0,0,8,20,-12
29.,Jan Dvořák,,G,0,0,0,0,0,0,0,0,0,0
30.,Lukáš Chyna,,G,0,0,0,0,0,0,0,0,0,0
