
#,"<span data-id=""PlayerStatsDataGrid_139639132920400"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639132920400/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""fullname"">Jméno <input type=""text"" name=""gridFilter_fullname"" data-placement=""bottom"" class=""popup-on"" title=""Abc - jakýkoliv výskyt Abc
Abc* - začíná s Abc
*Abc - končí s Abc 
=Abc - přesný výskyt Abc"">","<span data-id=""PlayerStatsDataGrid_139639132920400"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639132920400/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""team_logo_with_link"">Družstvo","<span data-id=""PlayerStatsDataGrid_139639132920400"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639132920400/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""post"">Post","<span data-id=""PlayerStatsDataGrid_139639132920400"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639132920400/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""z"">Z","<span data-id=""PlayerStatsDataGrid_139639132920400"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639132920400/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""b"">B","<span data-id=""PlayerStatsDataGrid_139639132920400"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639132920400/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""bvp"">BVP","<span data-id=""PlayerStatsDataGrid_139639132920400"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639132920400/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""bvo"">BVO","<span data-id=""PlayerStatsDataGrid_139639132920400"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639132920400/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""a"">A","<span data-id=""PlayerStatsDataGrid_139639132920400"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639132920400/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""kb"">KB","<span data-id=""PlayerStatsDataGrid_139639132920400"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639132920400/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""tm"">TM","<span data-id=""PlayerStatsDataGrid_139639132920400"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639132920400/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""plus_points"">+","<span data-id=""PlayerStatsDataGrid_139639132920400"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639132920400/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""minus_points"">-","<span data-id=""PlayerStatsDataGrid_139639132920400"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639132920400/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""plus_minus_points"">+/-"
1.,Adam Šmíd,,,11,11,2,0,10,21,6,27,29,-2
2.,Ivo Teichman,,U,11,5,0,0,8,13,0,14,30,-16
3.,Jan Savický,,U,11,7,0,0,3,10,4,24,28,-4
4.,Petr Černý,,,11,8,0,0,0,8,0,8,20,-12
5.,Marcel Lehký,,O,11,4,0,0,3,7,6,16,22,-6
6.,Přemek Pakosta,,U,11,2,0,0,5,7,4,24,28,-4
7.,Lukáš Prix,,,9,4,0,0,2,6,8,14,18,-4
8.,David Petržela,,,11,4,0,0,2,6,6,14,27,-13
9.,David Žáček,,,11,3,0,1,3,6,8,12,20,-8
10.,Michal Smola,,,10,1,0,0,4,5,0,11,18,-7
11.,Václav Oubrecht,,O,4,2,0,0,1,3,2,11,9,2
12.,Radek Formánek,,U,10,0,0,0,3,3,2,11,22,-11
13.,Vojtěch Kaluža,,,11,0,0,0,3,3,2,13,20,-7
14.,Lukáš Kučera,,,9,1,0,0,1,2,0,7,20,-13
15.,Tomáš Kucharič,,U,6,1,0,0,0,1,2,4,10,-6
16.,Vojtěch Klein,,O,11,1,0,0,0,1,2,7,8,-1
17.,Martin Haleš,,G,0,0,0,0,1,1,0,0,0,0
18.,Matyáš Mík,,,1,0,0,0,0,0,0,0,0,0
19.,Jiří Veinfurter,,G,0,0,0,0,0,0,0,0,0,0
20.,Jan Kourek,,U,3,0,0,0,0,0,0,4,5,-1
21.,Vojtěch Rusin,,,5,0,0,0,0,0,0,2,5,-3
22.,Jiří Kohoutek,,,6,0,0,0,0,0,2,0,1,-1
23.,Karel Aubus,,,2,0,0,0,0,0,0,0,1,-1
24.,Marek Weinelt,,,11,0,0,0,0,0,2,4,4,0
25.,Lukáš Slabý,,O,11,0,0,0,0,0,2,12,20,-8
