
#,"<span data-id=""PlayerStatsDataGrid_139639039226000"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639039226000/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""fullname"">Jméno <input type=""text"" name=""gridFilter_fullname"" data-placement=""bottom"" class=""popup-on"" title=""Abc - jakýkoliv výskyt Abc
Abc* - začíná s Abc
*Abc - končí s Abc 
=Abc - přesný výskyt Abc"">","<span data-id=""PlayerStatsDataGrid_139639039226000"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639039226000/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""team_logo_with_link"">Družstvo","<span data-id=""PlayerStatsDataGrid_139639039226000"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639039226000/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""post"">Post","<span data-id=""PlayerStatsDataGrid_139639039226000"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639039226000/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""z"">Z","<span data-id=""PlayerStatsDataGrid_139639039226000"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639039226000/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""b"">B","<span data-id=""PlayerStatsDataGrid_139639039226000"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639039226000/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""bvp"">BVP","<span data-id=""PlayerStatsDataGrid_139639039226000"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639039226000/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""bvo"">BVO","<span data-id=""PlayerStatsDataGrid_139639039226000"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639039226000/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""a"">A","<span data-id=""PlayerStatsDataGrid_139639039226000"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639039226000/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""kb"">KB","<span data-id=""PlayerStatsDataGrid_139639039226000"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639039226000/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""tm"">TM","<span data-id=""PlayerStatsDataGrid_139639039226000"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639039226000/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""plus_points"">+","<span data-id=""PlayerStatsDataGrid_139639039226000"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639039226000/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""minus_points"">-","<span data-id=""PlayerStatsDataGrid_139639039226000"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639039226000/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""plus_minus_points"">+/-"
1.,Mikuláš Krbec,,U,12,12,1,0,13,25,4,30,20,10
2.,Lukáš Ujhelyi,,U,11,14,4,2,6,20,0,24,14,10
3.,Jakub Kolstrunk,,U,12,10,1,0,5,15,0,30,12,18
4.,Josef Juha,,,12,7,0,0,7,14,4,13,16,-3
5.,Matěj Čermák,,,12,5,0,0,9,14,2,19,12,7
6.,Radim Křenek,,O,12,4,2,0,7,11,4,30,13,17
7.,Marek Zouzal,,U,12,2,0,0,7,9,2,19,12,7
8.,Dominik Beneš,,,7,7,1,0,1,8,0,14,5,9
9.,Michal Zeman,,O,12,3,0,0,3,6,2,26,14,12
10.,Kristián Kozák,,,11,3,2,0,1,4,8,10,14,-4
11.,Ondřej Hurt,,,10,2,0,0,2,4,0,8,5,3
12.,Dominik Bartoš,,O,12,2,0,0,2,4,4,16,14,2
13.,Matyáš Bachmaier,,,7,3,0,0,0,3,2,11,6,5
14.,Martin Dolejš,,U,7,2,0,0,1,3,0,11,8,3
15.,Ondřej Riebauer,,U,3,1,0,0,2,3,0,10,6,4
16.,Matěj Pruner,,U,11,1,0,0,2,3,24,9,13,-4
17.,Matyáš Velc,,,6,1,0,0,1,2,2,3,3,0
18.,Marek Koščo,,,12,1,0,0,1,2,0,5,8,-3
19.,Milan Garčar,,O,6,0,0,0,2,2,4,0,0,0
20.,Michal Pažák,,U,5,0,0,0,1,1,4,7,3,4
21.,Michal Kareš,,U,7,0,0,0,1,1,2,5,4,1
22.,Martin Beneš,,G,0,0,0,0,1,1,4,0,0,0
23.,Ondřej Pelech,,,0,0,0,0,0,0,0,0,0,0
24.,Tomáš Dibelka,,,3,0,0,0,0,0,0,0,2,-2
25.,Šimon Masár,,,4,0,0,0,0,0,0,0,0,0
26.,Marek Veselý,,,5,0,0,0,0,0,0,3,7,-4
27.,Patrik Zítka,,G,0,0,0,0,0,0,0,0,0,0
