
#,"<span data-id=""PlayerStatsDataGrid_139639149479696"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639149479696/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""fullname"">Jméno <input type=""text"" name=""gridFilter_fullname"" data-placement=""bottom"" class=""popup-on"" title=""Abc - jakýkoliv výskyt Abc
Abc* - začíná s Abc
*Abc - končí s Abc 
=Abc - přesný výskyt Abc"">","<span data-id=""PlayerStatsDataGrid_139639149479696"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639149479696/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""team_logo_with_link"">Družstvo","<span data-id=""PlayerStatsDataGrid_139639149479696"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639149479696/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""post"">Post","<span data-id=""PlayerStatsDataGrid_139639149479696"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639149479696/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""z"">Z","<span data-id=""PlayerStatsDataGrid_139639149479696"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639149479696/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""b"">B","<span data-id=""PlayerStatsDataGrid_139639149479696"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639149479696/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""bvp"">BVP","<span data-id=""PlayerStatsDataGrid_139639149479696"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639149479696/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""bvo"">BVO","<span data-id=""PlayerStatsDataGrid_139639149479696"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639149479696/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""a"">A","<span data-id=""PlayerStatsDataGrid_139639149479696"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639149479696/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""kb"">KB","<span data-id=""PlayerStatsDataGrid_139639149479696"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639149479696/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""tm"">TM","<span data-id=""PlayerStatsDataGrid_139639149479696"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639149479696/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""plus_points"">+","<span data-id=""PlayerStatsDataGrid_139639149479696"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639149479696/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""minus_points"">-","<span data-id=""PlayerStatsDataGrid_139639149479696"" data-action=""/datagrid/20222/PlayerStatsDataGrid_139639149479696/for"" class=""grid-ajax sort-button"" data-name=""sort"" data-value=""plus_minus_points"">+/-"
1.,Filip Langer,,U,14,17,6,0,17,34,6,44,9,35
2.,Ondřej Němeček,,,14,12,5,0,14,26,4,43,9,34
3.,Milan Meliš,,U,14,13,6,0,10,23,2,28,18,10
4.,Matěj Havlas,,,12,13,0,0,9,22,2,32,7,25
5.,Martin Šindelář,,U,14,9,2,0,13,22,6,28,17,11
6.,Petr Brautferger,,,14,13,0,0,6,19,6,37,7,30
7.,Pavel Sládeček,,,14,7,0,0,4,11,6,26,20,6
8.,Ondřej Vítovec,,,14,1,0,0,8,9,0,32,7,25
9.,Martin Pánek,,O,14,4,0,0,4,8,4,26,19,7
10.,Jakub Kolísko,,U,13,4,0,0,3,7,2,13,17,-4
11.,Adam Tlapák,,O,14,2,0,0,5,7,2,21,17,4
12.,Martin Mühlfait,,O,14,4,0,0,1,5,2,12,17,-5
13.,Petr Novotný,,,12,2,0,0,3,5,14,7,14,-7
14.,Bohumil Piskáček,,,4,3,0,0,0,3,0,5,2,3
15.,Jan Kolísko,,,10,2,0,0,1,3,0,15,13,2
16.,Filip Ullmann,,O,4,1,0,0,1,2,0,8,3,5
17.,Tomáš Navrátil,,,10,1,0,0,0,1,2,4,5,-1
18.,Ondřej Sádlo,,,12,1,0,0,0,1,0,5,18,-13
19.,Vojtěch Klápa,,,8,0,0,0,1,1,4,3,3,0
20.,Martin Pretl,,,1,0,0,0,0,0,0,0,0,0
21.,Matěj Vavroušek,,U,1,0,0,0,0,0,0,0,0,0
22.,Matěj Švarc,,,1,0,0,0,0,0,0,0,0,0
23.,Dalibor Švéda,,,2,0,0,0,0,0,0,0,0,0
24.,Jakub Kerzel,,U,3,0,0,0,0,0,0,0,0,0
25.,Tomáš Jurco,,,0,0,0,0,0,0,0,0,0,0
26.,Ondřej Papoušek,,,6,0,0,0,0,0,2,3,2,1
27.,Sebastián Rod,,,8,0,0,0,0,0,0,1,3,-2
28.,Martin Frühbauer,,G,0,0,0,0,0,0,0,0,0,0
29.,Lukáš Kříž,,,0,0,0,0,0,0,0,0,0,0
