,1. Tomáš Hanák,,46
,2. Radek Hanák,,34
,3. Jakub Renčín,,29
,4. Matěj Boček,,27
,5. Jakub Hromada,,25
,1. Daniel Körber,,"6,31"
,2. Ondřej Matiášek,,"7,03"
,3. Marek Netopilík,,"0,00"
,4. Daniel Pfeifer,,"6,00"
,,,
,1. Tomáš Hanák,,30
,2. Radek Hanák,,20
,3. Matěj Boček,,17
,4. Jakub Renčín,,15
,5. Jan Kopecký,,15
,1. Daniel Körber,,7
,2. Ondřej Matiášek,,7
,3. Daniel Pfeifer,,0
,4. Marek Netopilík,,0
,,,
,1. Tomáš Hanák,,16
,2. Jakub Renčín,,14
,3. Radek Hanák,,14
,4. Jakub Hromada,,13
,5. Matěj Boček,,10
,1. Radek Hanák,,14
,2. Vojtěch Novotný,,12
,3. Tomáš Hanák,,10
,4. Daniel Ludvík,,8
,5. Jakub Renčín,,8
