1.,Filip Forman,,,26,18,5,0,37,55,41,90,62,28
2.,Matěj Pěnička,,,26,30,9,0,15,45,4,70,52,18
3.,Matyáš Krebner,,U,26,21,4,0,22,43,4,66,53,13
4.,Jan Malič,,,26,13,6,0,18,31,22,81,57,24
5.,Jakub Buršík,,,26,19,0,3,11,30,6,58,50,8
6.,Jakub Šárka,,,23,21,10,0,6,27,2,46,36,10
7.,Ivan Tomčo,,,24,15,0,0,8,23,6,35,24,11
8.,Patrik Šebek,,U,25,10,1,0,13,23,2,63,50,13
9.,Michal Vojtíšek,,O,26,12,0,0,9,21,4,61,43,18
10.,Vojtěch Zezulka,,O,26,6,1,0,7,13,2,55,42,13
11.,Pavel Čihák,,O,23,3,0,0,10,13,4,30,36,-6
12.,Mikuláš Forman,,O,23,9,0,0,3,12,4,17,13,4
13.,Viktor Kopecký,,U,11,4,0,0,5,9,0,17,14,3
14.,Lukáš Punčochář,,,15,4,0,0,3,7,2,33,16,17
15.,Kryštof Krbec,,O,23,2,0,1,5,7,2,49,46,3
16.,Jan Dobisík,,U,21,5,0,0,1,6,2,23,14,9
17.,Ondřej Kawulok,,,14,2,0,0,2,4,0,16,12,4
18.,Adam Růžek,,U,22,2,0,0,1,3,0,18,15,3
19.,Jiří Kratina,,,20,2,0,0,0,2,2,6,5,1
20.,Martin Kisugite,,,2,1,0,0,1,2,0,6,3,3
21.,Marek Ďopan,,O,1,1,0,0,0,1,0,5,2,3
22.,Daniel Cabejšek,,O,4,0,0,0,1,1,0,1,0,1
23.,Jakub Zavřel,,,0,0,0,0,1,1,0,0,0,0
24.,Tomáš Otcovský,,,1,0,0,0,0,0,0,0,0,0
25.,Filip Folauf,,,1,0,0,0,0,0,0,0,0,0
26.,Dominik Šimáně,,O,2,0,0,0,0,0,0,0,0,0
27.,Tomáš Hyršl,,,0,0,0,0,0,0,0,0,0,0
28.,Lukáš Kuncman,,O,23,0,0,0,0,0,6,14,11,3
29.,Radovan Michajlovič,,G,0,0,0,0,0,0,0,0,0,0
