1.,František Vykopal,,U,26,15,4,1,9,24,8,28,59,-31
2.,Filip Hrabal,,U,24,12,0,0,3,15,8,30,56,-26
3.,Matěj Hronek,,,18,6,0,1,9,15,4,23,40,-17
4.,Peter Nehila,,,23,10,0,0,4,14,2,17,39,-22
5.,Petr Koláčný,,O,20,7,1,0,7,14,14,26,53,-27
6.,Vlastimil Červenka,,U,22,5,0,0,7,12,6,28,42,-14
7.,Ladislav Gál,,U,21,7,2,0,4,11,2,22,47,-25
8.,Lukáš Petřík,,U,25,5,1,0,6,11,0,25,65,-40
9.,Michal Nagy,,O,19,6,1,0,4,10,12,29,52,-23
10.,Martin Szweda,,O,26,5,1,0,5,10,18,34,48,-14
11.,Marek Zapletal,,U,17,4,0,0,3,7,8,14,38,-24
12.,Martin Grlický,,U,9,2,0,0,3,5,0,13,12,1
13.,David Medek,,O,14,2,0,0,3,5,4,27,37,-10
14.,Valters Lapinš,,,9,1,0,0,3,4,2,9,22,-13
15.,Lukáš Kvapil,,O,23,1,1,0,3,4,6,26,58,-32
16.,Jan Hrtús,,,24,3,0,0,0,3,4,18,20,-2
17.,Tomáš Sovják,,U,12,1,0,0,2,3,11,8,23,-15
18.,Pavel Jurčík,,U,9,0,0,0,2,2,2,4,7,-3
19.,Petr Pšenčík,,O,21,0,0,0,2,2,2,8,29,-21
20.,Daniels Janis Anis,,,3,1,0,0,0,1,0,2,7,-5
21.,Reinis Rudzītis,,,2,0,0,0,1,1,0,1,1,0
22.,Šimon Šmajda,,,9,0,0,0,1,1,0,4,13,-9
23.,Josef Štourač,,U,19,0,0,0,1,1,2,5,27,-22
24.,Kevin Majrich,,G,0,0,0,0,1,1,0,0,2,-2
25.,Ondřej Kahoun,,,1,0,0,0,0,0,0,0,0,0
26.,Vladimír Blažek,,,1,0,0,0,0,0,0,0,0,0
27.,Denis Zimmer,,O,2,0,0,0,0,0,0,0,0,0
28.,Rudolfs Vilmanis,,,3,0,0,0,0,0,2,2,5,-3
29.,Petr Kopecký,,,5,0,0,0,0,0,0,0,4,-4
30.,Miroslav Kladivo,,O,5,0,0,0,0,0,2,5,14,-9
31.,Jan Vorálek,,G,0,0,0,0,0,0,0,0,0,0
32.,Kryštof Hájek,,,8,0,0,0,0,0,6,3,12,-9
33.,Zdeněk Raška,,,1,0,0,0,0,0,0,0,0,0
34.,Adam Javořík,,,9,0,0,0,0,0,2,1,3,-2
35.,Matěj Kubíček,,,1,0,0,0,0,0,0,0,1,-1
