,1. Filip Langer,,13
,2. Matěj Havlas,,8
,3. Milan Meliš,,7
,4. Martin Šindelář,,6
,5. Bohumil Piskáček,,5
,1. Lukáš Kříž,,"5,12"
,2. Tomáš Jurco,,"0,00"
,3. Martin Frühbauer,,"4,29"
,,,
,,,
,1. Filip Langer,,6
,2. Martin Šindelář,,5
,3. Matěj Havlas,,4
,4. Milan Meliš,,4
,5. Bohumil Piskáček,,3
,1. Lukáš Kříž,,2
,2. Martin Frühbauer,,0
,3. Tomáš Jurco,,0
,,,
,,,
,1. Filip Langer,,7
,2. Matěj Havlas,,4
,3. Milan Meliš,,3
,4. Ondřej Vítovec,,3
,5. Petr Brautferger,,3
,1. Martin Šindelář,,6
,2. Bohumil Piskáček,,4
,3. Filip Langer,,4
,4. Martin Pánek,,2
,5. Pavel Sládeček,,2
