,1. Filip Forman,,69
,2. Jakub Buršík,,51
,3. Jan Malič,,39
,4. Karel Petrák,,37
,5. Patrik Šebek,,37
,1. Radovan Michajlovič,,"5,11"
,2. Jakub Zavřel,,"5,95"
,3. Tomáš Hyršl,,"6,17"
,,,
,,,
,1. Filip Forman,,26
,2. Jakub Buršík,,25
,3. Karel Petrák,,25
,4. Jan Malič,,20
,5. Patrik Šebek,,20
,1. Radovan Michajlovič,,6
,2. Jakub Zavřel,,6
,3. Tomáš Hyršl,,4
,,,
,,,
,1. Filip Forman,,43
,2. Jakub Buršík,,26
,3. Jan Malič,,19
,4. Patrik Šebek,,17
,5. Karel Petrák,,12
,1. Filip Forman,,14
,2. Jan Malič,,12
,3. Dominik Šimáně,,8
,4. Jakub Buršík,,8
,5. Peter Hrabčák,,6
