,1. Petr Majer,,59
,2. Marek Vávra,,51
,3. Tom Ondrušek,,39
,4. Mikuláš Komárek,,33
,5. Daniel Eremiáš,,32
,1. Karel Hodík,,"4,70"
,2. Karel Pergler,,"3,33"
,3. Vojtěch Šimůnek,,"7,35"
,,,
,,,
,1. Petr Majer,,28
,2. Daniel Eremiáš,,24
,3. Marek Vávra,,23
,4. Tom Ondrušek,,18
,5. Mikuláš Komárek,,17
,1. Karel Hodík,,14
,2. Karel Pergler,,1
,3. Vojtěch Šimůnek,,1
,,,
,,,
,1. Petr Majer,,31
,2. Marek Vávra,,28
,3. Tom Ondrušek,,21
,4. Mikuláš Komárek,,16
,5. Jiří Bauer,,9
,1. Radim Slunečko,,18
,2. Mikuláš Komárek,,14
,3. Jiří Bauer,,10
,4. Michal Podhráský,,8
,5. Michal Strnad,,8
