,1. Milan Tichý,,33
,2. Daniel Štěrba,,32
,3. Radek Krajcigr,,29
,4. Jaromír Ekl,,28
,5. Jakub Jirsa,,25
,1. Jan Dvořák,,"6,16"
,2. Ivan Ponomarev,,"8,47"
,3. Lukáš Chyna,,"7,88"
,4. Daniel Jukl,,"15,00"
,,,
,1. Milan Tichý,,20
,2. Jaromír Ekl,,18
,3. Radek Krajcigr,,18
,4. Ondřej Kopič,,16
,5. Štěpán Slaný,,13
,1. Jan Dvořák,,6
,2. Ivan Ponomarev,,2
,3. Lukáš Chyna,,2
,4. Daniel Jukl,,0
,,,
,1. Daniel Štěrba,,22
,2. Jakub Jirsa,,19
,3. Milan Tichý,,13
,4. Radek Krajcigr,,11
,5. Jaromír Ekl,,10
,1. Štěpán Slaný,,36
,2. Tomáš Novák,,31
,3. Lukáš Mlejnek,,20
,4. Milan Tichý,,20
,5. Radek Krajcigr,,18
