,1. Lukáš Jalový,,27
,2. Tomáš Brom,,24
,3. Šimon Hronek,,18
,4. Lukáš Lhota,,13
,5. René Slezák,,11
,1. Zdeněk Raška,,"6,58"
,2. Ondřej Kolajta,,"8,23"
,3. Radek Korba,,"0,00"
,4. Filip Létal,,"7,42"
,,,
,1. Lukáš Jalový,,13
,2. Šimon Hronek,,12
,3. Tomáš Brom,,11
,4. René Slezák,,10
,5. Lukáš Lhota,,7
,1. Zdeněk Raška,,4
,2. Ondřej Kolajta,,0
,3. Filip Létal,,0
,4. Radek Korba,,0
,,,
,1. Lukáš Jalový,,14
,2. Tomáš Brom,,13
,3. David Sládeček,,9
,4. Jonáš Kůra,,7
,5. Jiří Juhaňák,,6
,1. David Sládeček,,16
,2. Jakub Procházka,,12
,3. Lukáš Lhota,,11
,4. Lukáš Jalový,,10
,5. Matěj Hronek,,10
