1.,Michal Sládek,,U,26,28,7,1,25,53,7,67,53,14
2.,Lukáš Pešat,,U,25,17,3,0,27,44,6,74,44,30
3.,Daniel Chatrný,,,26,29,4,0,10,39,4,57,50,7
4.,Ladislav Gál,,U,26,22,1,0,7,29,8,52,49,3
5.,Šimon Kuczera,,O,25,8,2,0,20,28,4,64,41,23
6.,Wojciech Malajka,,,12,11,4,0,9,20,2,28,12,16
7.,Lukáš Herblich,,,25,10,0,0,10,20,4,34,37,-3
8.,Dominik Klimscha,,,26,8,1,1,11,19,4,52,44,8
9.,Šimon Soukup,,,26,7,0,0,7,14,7,41,48,-7
10.,Marcel Jakubec,,,26,3,0,0,3,6,10,32,45,-13
11.,Filip Šubert,,,19,2,0,0,4,6,6,45,35,10
12.,Marek Lípový,,O,15,1,0,0,5,6,2,19,22,-3
13.,Martin Stibor,,,4,2,0,0,0,2,0,3,2,1
14.,Adam Choma,,U,15,0,0,0,2,2,4,6,14,-8
15.,Matěj Sedláček,,U,4,1,0,0,0,1,0,4,3,1
16.,Pavel Hurta,,,23,1,1,0,0,1,2,1,10,-9
17.,Richard Pum,,,10,0,0,0,1,1,0,3,3,0
18.,Martin Sedláček,,U,14,0,0,0,1,1,0,0,0,0
19.,Jan Klinka,,G,0,0,0,0,1,1,0,0,0,0
20.,Martin Szweda,,O,1,0,0,0,0,0,0,0,0,0
21.,Tomáš Elbl,,U,3,0,0,0,0,0,0,2,0,2
22.,Petr Burýšek,,O,4,0,0,0,0,0,0,4,3,1
23.,Lukáš Svačinka,,,9,0,0,0,0,0,0,0,2,-2
24.,Martin Janík,,,2,0,0,0,0,0,0,0,0,0
25.,Jiří Šebesta,,O,10,0,0,0,0,0,0,0,6,-6
26.,Petr Vítovec,,,17,0,0,0,0,0,0,2,0,2
27.,Adam Mikoláš,,,18,0,0,0,0,0,2,11,9,2
28.,Vojtěch Repček,,,18,0,0,0,0,0,4,0,9,-9
29.,Denis Zimmer,,O,20,0,0,0,0,0,4,1,11,-10
30.,Jan Binder,,G,0,0,0,0,0,0,2,0,0,0
