,1. Mikuláš Krbec,,46
,2. Lukáš Ujhelyi,,42
,3. Marek Zouzal,,32
,4. Josef Juha,,27
,5. Matěj Čermák,,26
,1. Martin Beneš,,"4,49"
,2. Roman Nový,,"0,00"
,3. Viktor Hejna,,"3,50"
,,,
,,,
,1. Mikuláš Krbec,,26
,2. Lukáš Ujhelyi,,23
,3. Matěj Čermák,,17
,4. Josef Juha,,14
,5. Marek Zouzal,,14
,1. Martin Beneš,,15
,2. Viktor Hejna,,2
,3. Roman Nový,,0
,,,
,,,
,1. Mikuláš Krbec,,20
,2. Lukáš Ujhelyi,,19
,3. Marek Zouzal,,18
,4. Josef Juha,,13
,5. Jakub Kolstrunk,,12
,1. Radim Křenek,,31
,2. Jakub Kolstrunk,,16
,3. Lukáš Ujhelyi,,10
,4. Josef Juha,,8
,5. Michal Zeman,,8
