František Vykopal,U,10,13,6,20,1209050561
Ronald Gašparík,,11,8,11,19,1505160221
Peter Nehila,,12,10,5,32,1708090041
Lukáš Petřík,U,12,4,7,38,0609200011
Tomáš Sovják,U,10,2,8,24,0504060011
Jakub Grich,,6,5,2,10,1905030121
Pavel Jurčík,U,12,5,2,25,0510080281
Filip Hrabal,U,11,3,4,26,0508080191
Martin Ležatka,U,12,4,2,28,1309171271
David Ležatka,U,11,2,4,23,1309171311
Vlastimil Červenka,U,12,2,2,33,1509230051
Jiří Halama,,12,1,1,25,1209050231
Lukáš Kvapil,O,12,1,1,21,0611300771
Vít Máček,,12,1,0,15,0810130931
David Medek,O,3,0,1,4,0809190681
Kryštof Hájek,,1,0,0,0,1510090981
Ondřej Malý,,5,0,0,0,1010130931
Kevin Majrich,G,0,0,0,0,1209190651
Dalimil Krčma,,8,0,0,1,1509240761
Samuel Kelemen,,8,0,0,13,1701060221
Miroslav Steiger,G,0,0,0,0,1408110541
Marek Maťcha,O,8,0,0,13,1002010171
Josef Štourač,U,9,0,0,8,1310031391
Adam Kohút,G,0,0,0,0,1605120021
