,1. Petr Majer,,17
,2. Marek Vávra,,14
,3. Daniel Eremiáš,,10
,4. Tomáš Sýkora,,9
,5. Jiří Bauer,,8
,1. Vojtěch Šimůnek,,"6,01"
,2. Karel Hodík,,"6,45"
,,,
,,,
,,,
,1. Daniel Eremiáš,,10
,2. Petr Majer,,7
,3. Marek Vávra,,5
,4. Tomáš Sýkora,,5
,5. Jiří Bauer,,4
,1. Vojtěch Šimůnek,,4
,2. Karel Hodík,,0
,,,
,,,
,,,
,1. Petr Majer,,10
,2. Marek Vávra,,9
,3. Tom Ondrušek,,5
,4. Jiří Bauer,,4
,5. Tomáš Sýkora,,4
,1. Marek Vávra,,27
,2. Ondřej Mikeš,,6
,3. Radim Slunečko,,6
,4. Michal Strnad,,4
,5. Daniel Maxa,,2
