,1. Michal Sládek,,52
,2. Wojciech Malajka,,48
,3. Lukáš Pešat,,35
,4. Dominik Klimscha,,20
,5. Lukáš Herblich,,18
,1. Jan Binder,,"5,08"
,2. Jan Klinka,,"5,78"
,3. Martin Janík,,"11,88"
,,,
,,,
,1. Wojciech Malajka,,33
,2. Michal Sládek,,25
,3. Lukáš Pešat,,16
,4. Dominik Klimscha,,12
,5. Lukáš Herblich,,12
,1. Jan Binder,,13
,2. Jan Klinka,,2
,3. Martin Janík,,0
,,,
,,,
,1. Michal Sládek,,27
,2. Lukáš Pešat,,19
,3. Wojciech Malajka,,15
,4. Marek Lípový,,11
,5. Dominik Eichner,,8
,1. Wojciech Malajka,,14
,2. Lukáš Herblich,,12
,3. Lukáš Pešat,,12
,4. Michal Sládek,,10
,5. Dominik Eichner,,8
