,1. Wojciech Malajka,,4
,2. Lukáš Herblich,,4
,3. Dominik Eichner,,2
,4. Marcel Jakubec,,2
,5. Marek Lípový,,2
,1. Jan Binder,,"7,93"
,2. Jan Klinka,,"0,00"
,3. Martin Janík,,"0,00"
,,,
,,,
,1. Wojciech Malajka,,3
,2. Dominik Eichner,,2
,3. Marcel Jakubec,,2
,4. Marek Lípový,,2
,5. Filip Šubert,,1
,1. Jan Binder,,0
,2. Jan Klinka,,0
,3. Martin Janík,,0
,,,
,,,
,1. Lukáš Herblich,,4
,2. Dominik Klimscha,,2
,3. Michal Sládek,,2
,4. Filip Šubert,,1
,5. Nikodem Gawronski,,1
,1. Lukáš Herblich,,14
,2. Dominik Eichner,,2
,3. Filip Šubert,,2
,4. Michal Sládek,,2
,5. Pavel Hurta,,2
