1.,Michal Strachota,,U,25,18,2,1,13,31,10,49,74,-25
2.,Lukáš Gregor,,U,26,19,6,0,7,26,2,34,61,-27
3.,Zbyněk Stuchlík,,,26,8,0,0,13,21,15,45,63,-18
4.,Milan Bína,,U,24,11,3,0,9,20,0,36,52,-16
5.,Martin Skřivánek,,,13,6,0,0,10,16,0,25,43,-18
6.,Petr Hartman,,U,26,10,0,0,5,15,4,30,44,-14
7.,Ondřej Stuchlík,,O,26,8,4,0,6,14,6,48,76,-28
8.,Jan Procházka,,U,21,4,0,0,9,13,0,23,35,-12
9.,Jan Fiala,,O,26,8,0,1,4,12,4,39,56,-17
10.,Oliver Gold,,O,25,6,0,0,2,8,0,24,34,-10
11.,Pavel Hájek,,,21,0,0,0,8,8,2,17,30,-13
12.,Vojtěch Klápa,,,12,4,0,0,3,7,0,17,30,-13
13.,Radovan Vnuk,,U,24,4,0,0,3,7,6,25,47,-22
14.,Jan Svoboda,,U,16,1,0,0,6,7,8,21,26,-5
15.,Lukáš Lanc,,,25,4,0,0,2,6,0,32,64,-32
16.,Jiří Lebeda,,,2,3,0,0,0,3,0,3,6,-3
17.,Marek Paštika,,,18,2,0,0,1,3,0,12,24,-12
18.,Marian Jelínek,,O,23,1,0,0,1,2,2,31,49,-18
19.,Daniel Cabejšek,,O,9,0,0,0,2,2,4,6,19,-13
20.,Patrik Chládek,,U,2,1,0,0,0,1,0,2,2,0
21.,Jan Linhart,,,3,1,0,0,0,1,0,1,0,1
22.,Štěpán Čuda,,O,24,0,0,0,1,1,2,8,22,-14
23.,Jan Králík,,,2,0,0,0,0,0,0,1,2,-1
24.,Martin Šolaja,,,2,0,0,0,0,0,0,0,0,0
25.,Rastislav Mazák,,G,0,0,0,0,0,0,0,0,0,0
26.,Dominik Záň,,,4,0,0,0,0,0,0,1,5,-4
27.,Matyáš Lorenc,,,0,0,0,0,0,0,0,0,0,0
28.,Matěj Šaroch,,,11,0,0,0,0,0,2,2,5,-3
29.,Jiří Buchta,,G,0,0,0,0,0,0,0,0,1,-1
30.,Jan Pinkas,,,23,0,0,0,0,0,2,3,13,-10
31.,Karel Šantora,,G,0,0,0,0,0,0,0,0,0,0
