,1. Mikuláš Krbec,,44
,2. Lukáš Ujhelyi,,38
,3. Jakub Kolstrunk,,27
,4. Matěj Čermák,,23
,5. Marek Zouzal,,23
,1. Martin Beneš,,"5,07"
,2. Ondřej Pelech,,"0,00"
,3. Patrik Zítka,,"2,32"
,,,
,,,
,1. Lukáš Ujhelyi,,24
,2. Jakub Kolstrunk,,19
,3. Mikuláš Krbec,,18
,4. Dominik Beneš,,16
,5. Matěj Čermák,,12
,1. Martin Beneš,,16
,2. Patrik Zítka,,2
,3. Ondřej Pelech,,0
,,,
,,,
,1. Mikuláš Krbec,,26
,2. Lukáš Ujhelyi,,14
,3. Marek Zouzal,,14
,4. Matěj Čermák,,11
,5. Radim Křenek,,11
,1. Matěj Pruner,,30
,2. Michal Pažák,,12
,3. Kristián Kozák,,10
,4. Dominik Bartoš,,8
,5. Josef Juha,,8
