,1. Adam Delong,,63
,2. Lukáš Hájek,,53
,3. Matyáš Šindler,,50
,4. Rostislav Gattnar,,49
,5. Marek Matejčík,,42
,1. Lukáš Souček,,"4,12"
,2. Denis Jasiok,,"5,55"
,3. Petr Maláč,,"6,00"
,,,
,,,
,1. Adam Delong,,41
,2. Rostislav Gattnar,,34
,3. Lukáš Hájek,,29
,4. Jan Šebesta,,16
,5. Marek Matejčík,,16
,1. Lukáš Souček,,17
,2. Denis Jasiok,,4
,3. Petr Maláč,,1
,,,
,,,
,1. Matyáš Šindler,,37
,2. Marek Matejčík,,26
,3. Lukáš Hájek,,24
,4. Adam Delong,,22
,5. Rostislav Gattnar,,15
,1. Jan Šebesta,,10
,2. Tomáš Sladký,,8
,3. Marek Bräuer,,6
,4. Daniels Janis Anis,,4
,5. Marek Matejčík,,4
