,1. Lukáš Hájek,,15
,2. Marek Bräuer,,9
,3. Marek Matejčík,,8
,4. Adam Delong,,7
,5. Matyáš Šindler,,7
,1. Lukáš Souček,,"3,40"
,2. Denis Jasiok,,"0,00"
,,,
,,,
,,,
,1. Lukáš Hájek,,9
,2. Adam Delong,,5
,3. Rostislav Gattnar,,5
,4. Jiří Besta,,4
,5. Marek Bräuer,,4
,1. Lukáš Souček,,5
,2. Denis Jasiok,,0
,,,
,,,
,,,
,1. Matyáš Šindler,,7
,2. Lukáš Hájek,,6
,3. Marek Matejčík,,6
,4. Marek Bräuer,,5
,5. Tomáš Sladký,,3
,1. Jiří Besta,,4
,2. Marek Matejčík,,4
,3. Adam Choma,,2
,4. Jan Šebesta,,2
,5. Marek Švajný,,2
